Device: cuda
Num classes: 657
Model: convnext_base.fb_in22k_ft_in1k

AMP Enabled: True
Compile Enabled: False
CUDNN Benchmark: True
Freeze Backbone: False
Validation Interval: 1
Weight Decay: 0.05
Label Smoothing: 0.1
Dropout Rate: 0.2
Early Stopping Patience: 10
Scheduler: CosineAnnealingLR (T_max=40, eta_min=1e-6)
Warmup Epochs: 3
Mixup Alpha: 0.2
CutMix Alpha: 1.0
Resume From: /content/drive/MyDrive/CS273P_Project/outputs/output_20260309_025748/checkpoints/convnext_base.fb_in22k_ft_in1k_best.pth

Epoch [22/40] | Train Loss: 1.6995 | Train Top1: 0.5775 | Train Top5: 0.7957 | Val Loss: 1.6921 | Val Top1: 0.8337 | Val Top5: 0.9460 | LR: 2.65e-05 | Train Time: 329.095s | Val Time: 24.584s | Epoch Time: 353.679s
Epoch [23/40] | Train Loss: 1.6546 | Train Top1: 0.6026 | Train Top5: 0.7950 | Val Loss: 1.6891 | Val Top1: 0.8335 | Val Top5: 0.9466 | LR: 2.45e-05 | Train Time: 328.680s | Val Time: 24.740s | Epoch Time: 353.420s
Epoch [24/40] | Train Loss: 1.6971 | Train Top1: 0.5823 | Train Top5: 0.7963 | Val Loss: 1.7008 | Val Top1: 0.8348 | Val Top5: 0.9450 | LR: 2.24e-05 | Train Time: 329.140s | Val Time: 24.956s | Epoch Time: 354.096s
Epoch [25/40] | Train Loss: 1.6533 | Train Top1: 0.6175 | Train Top5: 0.8078 | Val Loss: 1.6899 | Val Top1: 0.8359 | Val Top5: 0.9469 | LR: 2.03e-05 | Train Time: 329.573s | Val Time: 24.403s | Epoch Time: 353.976s
Epoch [26/40] | Train Loss: 1.6513 | Train Top1: 0.5933 | Train Top5: 0.7927 | Val Loss: 1.6926 | Val Top1: 0.8341 | Val Top5: 0.9460 | LR: 1.83e-05 | Train Time: 328.262s | Val Time: 24.222s | Epoch Time: 352.483s
Epoch [27/40] | Train Loss: 1.6623 | Train Top1: 0.5900 | Train Top5: 0.7864 | Val Loss: 1.6912 | Val Top1: 0.8371 | Val Top5: 0.9468 | LR: 1.64e-05 | Train Time: 328.446s | Val Time: 24.725s | Epoch Time: 353.171s
Epoch [28/40] | Train Loss: 1.6670 | Train Top1: 0.6007 | Train Top5: 0.7961 | Val Loss: 1.6925 | Val Top1: 0.8366 | Val Top5: 0.9467 | LR: 1.45e-05 | Train Time: 328.584s | Val Time: 24.647s | Epoch Time: 353.230s
Epoch [29/40] | Train Loss: 1.6733 | Train Top1: 0.5987 | Train Top5: 0.8224 | Val Loss: 1.6878 | Val Top1: 0.8355 | Val Top5: 0.9472 | LR: 1.27e-05 | Train Time: 329.467s | Val Time: 24.540s | Epoch Time: 354.007s
Epoch [30/40] | Train Loss: 1.6682 | Train Top1: 0.6225 | Train Top5: 0.8246 | Val Loss: 1.6867 | Val Top1: 0.8353 | Val Top5: 0.9465 | LR: 1.09e-05 | Train Time: 328.826s | Val Time: 24.661s | Epoch Time: 353.487s
Epoch [31/40] | Train Loss: 1.6707 | Train Top1: 0.6025 | Train Top5: 0.8055 | Val Loss: 1.6896 | Val Top1: 0.8348 | Val Top5: 0.9460 | LR: 9.31e-06 | Train Time: 328.910s | Val Time: 24.940s | Epoch Time: 353.851s
Epoch [32/40] | Train Loss: 1.6754 | Train Top1: 0.6039 | Train Top5: 0.8258 | Val Loss: 1.6903 | Val Top1: 0.8358 | Val Top5: 0.9461 | LR: 7.81e-06 | Train Time: 328.905s | Val Time: 24.841s | Epoch Time: 353.746s
Epoch [33/40] | Train Loss: 1.6503 | Train Top1: 0.6318 | Train Top5: 0.8394 | Val Loss: 1.6904 | Val Top1: 0.8360 | Val Top5: 0.9468 | LR: 6.44e-06 | Train Time: 330.096s | Val Time: 24.508s | Epoch Time: 354.604s
Epoch [34/40] | Train Loss: 1.6516 | Train Top1: 0.5889 | Train Top5: 0.8045 | Val Loss: 1.6898 | Val Top1: 0.8372 | Val Top5: 0.9465 | LR: 5.20e-06 | Train Time: 328.271s | Val Time: 24.816s | Epoch Time: 353.086s
Epoch [35/40] | Train Loss: 1.6673 | Train Top1: 0.5784 | Train Top5: 0.8116 | Val Loss: 1.6904 | Val Top1: 0.8366 | Val Top5: 0.9460 | LR: 4.11e-06 | Train Time: 328.557s | Val Time: 24.842s | Epoch Time: 353.399s
Epoch [36/40] | Train Loss: 1.6294 | Train Top1: 0.5714 | Train Top5: 0.7753 | Val Loss: 1.6911 | Val Top1: 0.8374 | Val Top5: 0.9459 | LR: 3.17e-06 | Train Time: 329.131s | Val Time: 24.169s | Epoch Time: 353.300s
Epoch [37/40] | Train Loss: 1.6524 | Train Top1: 0.5981 | Train Top5: 0.8106 | Val Loss: 1.6923 | Val Top1: 0.8383 | Val Top5: 0.9456 | LR: 2.40e-06 | Train Time: 329.629s | Val Time: 24.489s | Epoch Time: 354.118s
Epoch [38/40] | Train Loss: 1.6450 | Train Top1: 0.6024 | Train Top5: 0.8171 | Val Loss: 1.6918 | Val Top1: 0.8377 | Val Top5: 0.9454 | LR: 1.79e-06 | Train Time: 330.045s | Val Time: 24.149s | Epoch Time: 354.194s
Epoch [39/40] | Train Loss: 1.6332 | Train Top1: 0.6064 | Train Top5: 0.7997 | Val Loss: 1.6915 | Val Top1: 0.8384 | Val Top5: 0.9453 | LR: 1.35e-06 | Train Time: 329.719s | Val Time: 24.573s | Epoch Time: 354.292s
Epoch [40/40] | Train Loss: 1.6551 | Train Top1: 0.6035 | Train Top5: 0.8057 | Val Loss: 1.6919 | Val Top1: 0.8382 | Val Top5: 0.9455 | LR: 1.09e-06 | Train Time: 329.985s | Val Time: 24.599s | Epoch Time: 354.584s

Best Epoch: 39 | Best Val Top1: 0.8384 | Best Val Top5: 0.9453
Total Train Time: 13262.322s | Total Val Time: 999.250s | Total Runtime: 14299.158s
