Device: cuda
Num classes: 657
Model: resnet50

AMP Enabled: True
Compile Enabled: False
CUDNN Benchmark: True
Freeze Backbone: False
Validation Interval: 1
Weight Decay: 0.02
Label Smoothing: 0.1
Dropout Rate: 0.4
Early Stopping Patience: 10
Scheduler: CosineAnnealingLR (T_max=60, eta_min=1e-6)
Warmup Epochs: 3
Mixup Alpha: 0.2
CutMix Alpha: 1.0

Epoch [23/60] | Train Loss: 2.5571 | Train Top1: 0.4710 | Train Top5: 0.6220 | Val Loss: 2.0730 | Val Top1: 0.7263 | Val Top5: 0.8985 | LR: 2.25e-04 | Train Time: 169.932s | Val Time: 10.426s | Epoch Time: 180.359s
Epoch [24/60] | Train Loss: 2.4625 | Train Top1: 0.4854 | Train Top5: 0.6285 | Val Loss: 2.0417 | Val Top1: 0.7304 | Val Top5: 0.9011 | LR: 2.18e-04 | Train Time: 170.021s | Val Time: 10.370s | Epoch Time: 180.390s
Epoch [25/60] | Train Loss: 2.4765 | Train Top1: 0.4990 | Train Top5: 0.6472 | Val Loss: 2.0611 | Val Top1: 0.7296 | Val Top5: 0.9037 | LR: 2.11e-04 | Train Time: 169.948s | Val Time: 10.369s | Epoch Time: 180.317s
Epoch [26/60] | Train Loss: 2.4612 | Train Top1: 0.4960 | Train Top5: 0.6412 | Val Loss: 2.0478 | Val Top1: 0.7336 | Val Top5: 0.9030 | LR: 2.03e-04 | Train Time: 169.990s | Val Time: 10.350s | Epoch Time: 180.341s
Epoch [27/60] | Train Loss: 2.4022 | Train Top1: 0.5229 | Train Top5: 0.6625 | Val Loss: 2.0882 | Val Top1: 0.7287 | Val Top5: 0.9019 | LR: 1.95e-04 | Train Time: 169.917s | Val Time: 10.386s | Epoch Time: 180.303s
Epoch [28/60] | Train Loss: 2.4488 | Train Top1: 0.5260 | Train Top5: 0.6754 | Val Loss: 2.0291 | Val Top1: 0.7360 | Val Top5: 0.9067 | LR: 1.87e-04 | Train Time: 169.949s | Val Time: 10.352s | Epoch Time: 180.300s
Epoch [29/60] | Train Loss: 2.3964 | Train Top1: 0.4948 | Train Top5: 0.6374 | Val Loss: 2.0342 | Val Top1: 0.7385 | Val Top5: 0.9053 | LR: 1.79e-04 | Train Time: 169.961s | Val Time: 10.380s | Epoch Time: 180.341s
Epoch [30/60] | Train Loss: 2.3270 | Train Top1: 0.5058 | Train Top5: 0.6463 | Val Loss: 2.0194 | Val Top1: 0.7426 | Val Top5: 0.9075 | LR: 1.71e-04 | Train Time: 169.982s | Val Time: 10.330s | Epoch Time: 180.312s
Epoch [31/60] | Train Loss: 2.3718 | Train Top1: 0.5182 | Train Top5: 0.6655 | Val Loss: 2.0429 | Val Top1: 0.7372 | Val Top5: 0.9052 | LR: 1.63e-04 | Train Time: 169.899s | Val Time: 10.418s | Epoch Time: 180.317s
Epoch [32/60] | Train Loss: 2.3105 | Train Top1: 0.5322 | Train Top5: 0.6706 | Val Loss: 2.0094 | Val Top1: 0.7447 | Val Top5: 0.9060 | LR: 1.55e-04 | Train Time: 169.870s | Val Time: 10.442s | Epoch Time: 180.313s
Epoch [33/60] | Train Loss: 2.3814 | Train Top1: 0.5258 | Train Top5: 0.6795 | Val Loss: 2.0284 | Val Top1: 0.7445 | Val Top5: 0.9081 | LR: 1.46e-04 | Train Time: 169.907s | Val Time: 10.379s | Epoch Time: 180.286s
Epoch [34/60] | Train Loss: 2.2988 | Train Top1: 0.5148 | Train Top5: 0.6582 | Val Loss: 2.0542 | Val Top1: 0.7404 | Val Top5: 0.9063 | LR: 1.38e-04 | Train Time: 169.949s | Val Time: 10.368s | Epoch Time: 180.317s
Epoch [35/60] | Train Loss: 2.3079 | Train Top1: 0.5264 | Train Top5: 0.6701 | Val Loss: 2.0051 | Val Top1: 0.7437 | Val Top5: 0.9094 | LR: 1.30e-04 | Train Time: 169.928s | Val Time: 10.458s | Epoch Time: 180.387s
Epoch [36/60] | Train Loss: 2.2322 | Train Top1: 0.5467 | Train Top5: 0.6834 | Val Loss: 1.9956 | Val Top1: 0.7479 | Val Top5: 0.9093 | LR: 1.22e-04 | Train Time: 169.950s | Val Time: 10.377s | Epoch Time: 180.327s
Epoch [37/60] | Train Loss: 2.2944 | Train Top1: 0.5420 | Train Top5: 0.6926 | Val Loss: 1.9974 | Val Top1: 0.7553 | Val Top5: 0.9086 | LR: 1.14e-04 | Train Time: 170.094s | Val Time: 10.423s | Epoch Time: 180.517s
Epoch [38/60] | Train Loss: 2.2115 | Train Top1: 0.5553 | Train Top5: 0.6945 | Val Loss: 2.0171 | Val Top1: 0.7504 | Val Top5: 0.9113 | LR: 1.06e-04 | Train Time: 170.002s | Val Time: 10.367s | Epoch Time: 180.369s
Epoch [39/60] | Train Loss: 2.2431 | Train Top1: 0.5432 | Train Top5: 0.6878 | Val Loss: 2.0063 | Val Top1: 0.7528 | Val Top5: 0.9090 | LR: 9.81e-05 | Train Time: 170.137s | Val Time: 10.433s | Epoch Time: 180.570s
Epoch [40/60] | Train Loss: 2.2268 | Train Top1: 0.5322 | Train Top5: 0.6776 | Val Loss: 1.9836 | Val Top1: 0.7550 | Val Top5: 0.9097 | LR: 9.04e-05 | Train Time: 170.040s | Val Time: 10.453s | Epoch Time: 180.494s
Epoch [41/60] | Train Loss: 2.1999 | Train Top1: 0.5283 | Train Top5: 0.6707 | Val Loss: 2.0033 | Val Top1: 0.7575 | Val Top5: 0.9108 | LR: 8.30e-05 | Train Time: 169.901s | Val Time: 10.378s | Epoch Time: 180.278s
Epoch [42/60] | Train Loss: 2.1793 | Train Top1: 0.5447 | Train Top5: 0.6901 | Val Loss: 1.9746 | Val Top1: 0.7561 | Val Top5: 0.9106 | LR: 7.58e-05 | Train Time: 170.079s | Val Time: 10.333s | Epoch Time: 180.413s
Epoch [43/60] | Train Loss: 2.1788 | Train Top1: 0.5398 | Train Top5: 0.6874 | Val Loss: 1.9541 | Val Top1: 0.7597 | Val Top5: 0.9140 | LR: 6.87e-05 | Train Time: 170.564s | Val Time: 10.707s | Epoch Time: 181.271s
Epoch [44/60] | Train Loss: 2.2298 | Train Top1: 0.5427 | Train Top5: 0.7032 | Val Loss: 1.9841 | Val Top1: 0.7621 | Val Top5: 0.9144 | LR: 6.20e-05 | Train Time: 170.148s | Val Time: 10.321s | Epoch Time: 180.469s
Epoch [45/60] | Train Loss: 2.1231 | Train Top1: 0.5530 | Train Top5: 0.6938 | Val Loss: 1.9776 | Val Top1: 0.7648 | Val Top5: 0.9123 | LR: 5.55e-05 | Train Time: 169.822s | Val Time: 16.682s | Epoch Time: 186.504s
Epoch [46/60] | Train Loss: 2.1502 | Train Top1: 0.5555 | Train Top5: 0.7041 | Val Loss: 1.9633 | Val Top1: 0.7609 | Val Top5: 0.9143 | LR: 4.92e-05 | Train Time: 171.505s | Val Time: 10.402s | Epoch Time: 181.907s
Epoch [47/60] | Train Loss: 2.1623 | Train Top1: 0.5663 | Train Top5: 0.7160 | Val Loss: 1.9623 | Val Top1: 0.7623 | Val Top5: 0.9123 | LR: 4.33e-05 | Train Time: 169.856s | Val Time: 10.403s | Epoch Time: 180.259s
Epoch [48/60] | Train Loss: 2.1426 | Train Top1: 0.5496 | Train Top5: 0.7019 | Val Loss: 1.9379 | Val Top1: 0.7640 | Val Top5: 0.9146 | LR: 3.78e-05 | Train Time: 169.810s | Val Time: 10.420s | Epoch Time: 180.230s
Epoch [49/60] | Train Loss: 2.1109 | Train Top1: 0.5668 | Train Top5: 0.7114 | Val Loss: 1.9826 | Val Top1: 0.7631 | Val Top5: 0.9144 | LR: 3.25e-05 | Train Time: 169.878s | Val Time: 10.442s | Epoch Time: 180.320s
Epoch [50/60] | Train Loss: 2.0919 | Train Top1: 0.5680 | Train Top5: 0.7094 | Val Loss: 1.9735 | Val Top1: 0.7624 | Val Top5: 0.9145 | LR: 2.76e-05 | Train Time: 169.806s | Val Time: 10.356s | Epoch Time: 180.161s
Epoch [51/60] | Train Loss: 2.1075 | Train Top1: 0.5577 | Train Top5: 0.7056 | Val Loss: 1.9597 | Val Top1: 0.7624 | Val Top5: 0.9164 | LR: 2.31e-05 | Train Time: 169.810s | Val Time: 10.379s | Epoch Time: 180.189s
Epoch [52/60] | Train Loss: 2.1260 | Train Top1: 0.5554 | Train Top5: 0.7124 | Val Loss: 1.9592 | Val Top1: 0.7627 | Val Top5: 0.9168 | LR: 1.90e-05 | Train Time: 169.898s | Val Time: 10.403s | Epoch Time: 180.300s
Epoch [53/60] | Train Loss: 2.0632 | Train Top1: 0.5575 | Train Top5: 0.6987 | Val Loss: 1.9609 | Val Top1: 0.7661 | Val Top5: 0.9162 | LR: 1.53e-05 | Train Time: 169.781s | Val Time: 10.360s | Epoch Time: 180.141s
Epoch [54/60] | Train Loss: 2.0422 | Train Top1: 0.5648 | Train Top5: 0.7069 | Val Loss: 1.9725 | Val Top1: 0.7674 | Val Top5: 0.9157 | LR: 1.20e-05 | Train Time: 169.835s | Val Time: 10.437s | Epoch Time: 180.273s
Epoch [55/60] | Train Loss: 2.1176 | Train Top1: 0.5620 | Train Top5: 0.7144 | Val Loss: 1.9727 | Val Top1: 0.7667 | Val Top5: 0.9169 | LR: 9.10e-06 | Train Time: 169.843s | Val Time: 10.319s | Epoch Time: 180.161s
Epoch [56/60] | Train Loss: 2.0914 | Train Top1: 0.5681 | Train Top5: 0.7163 | Val Loss: 1.9966 | Val Top1: 0.7673 | Val Top5: 0.9160 | LR: 6.64e-06 | Train Time: 169.866s | Val Time: 10.440s | Epoch Time: 180.305s
Epoch [57/60] | Train Loss: 2.1226 | Train Top1: 0.5626 | Train Top5: 0.7147 | Val Loss: 1.9612 | Val Top1: 0.7672 | Val Top5: 0.9166 | LR: 4.62e-06 | Train Time: 169.776s | Val Time: 10.295s | Epoch Time: 180.071s
Epoch [58/60] | Train Loss: 2.0694 | Train Top1: 0.5488 | Train Top5: 0.6925 | Val Loss: 1.9353 | Val Top1: 0.7657 | Val Top5: 0.9175 | LR: 3.04e-06 | Train Time: 169.937s | Val Time: 10.339s | Epoch Time: 180.276s
Epoch [59/60] | Train Loss: 2.0633 | Train Top1: 0.5860 | Train Top5: 0.7329 | Val Loss: 1.9741 | Val Top1: 0.7675 | Val Top5: 0.9162 | LR: 1.91e-06 | Train Time: 169.794s | Val Time: 10.306s | Epoch Time: 180.099s
Epoch [60/60] | Train Loss: 2.1226 | Train Top1: 0.5506 | Train Top5: 0.7106 | Val Loss: 1.9764 | Val Top1: 0.7677 | Val Top5: 0.9161 | LR: 1.23e-06 | Train Time: 169.831s | Val Time: 10.313s | Epoch Time: 180.144s

Best Epoch: 60 | Best Val Top1: 0.7677 | Best Val Top5: 0.9161
Total Train Time: 10259.578s | Total Val Time: 648.783s | Total Runtime: 10911.429s
