Using device: mps
Number of classes: 657
Train batches: 1827
Val batches: 203

===== Epoch 1/20 =====
  Train Batch [1300/1827] | Loss: 1.7629 | Top1: 0.5662 | Top5: 0.8167
  Train Batch [1350/1827] | Loss: 1.7607 | Top1: 0.5666 | Top5: 0.8171
  Train Batch [1400/1827] | Loss: 1.7570 | Top1: 0.5674 | Top5: 0.8177
  Train Batch [1450/1827] | Loss: 1.7512 | Top1: 0.5682 | Top5: 0.8187
  Train Batch [1500/1827] | Loss: 1.7475 | Top1: 0.5686 | Top5: 0.8193
  Train Batch [1550/1827] | Loss: 1.7476 | Top1: 0.5686 | Top5: 0.8194
  Train Batch [1600/1827] | Loss: 1.7454 | Top1: 0.5685 | Top5: 0.8199
  Train Batch [1650/1827] | Loss: 1.7411 | Top1: 0.5691 | Top5: 0.8209
  Train Batch [1700/1827] | Loss: 1.7385 | Top1: 0.5694 | Top5: 0.8212
  Train Batch [1750/1827] | Loss: 1.7393 | Top1: 0.5693 | Top5: 0.8211
  Train Batch [1800/1827] | Loss: 1.7353 | Top1: 0.5702 | Top5: 0.8217
  Train Batch [1827/1827] | Loss: 1.7350 | Top1: 0.5705 | Top5: 0.8217
  Val Batch [50/203] | Loss: 1.7891 | Top1: 0.5644 | Top5: 0.8244
  Val Batch [100/203] | Loss: 1.7451 | Top1: 0.5784 | Top5: 0.8281
  Val Batch [150/203] | Loss: 1.7669 | Top1: 0.5744 | Top5: 0.8215
  Val Batch [200/203] | Loss: 1.7802 | Top1: 0.5727 | Top5: 0.8197
  Val Batch [203/203] | Loss: 1.7798 | Top1: 0.5729 | Top5: 0.8202
Epoch [2/20] | Train Loss: 1.7350 | Train Top1: 0.5705 | Train Top5: 0.8217 | Val Loss: 1.7798 | Val Top1: 0.5729 | Val Top5: 0.8202

===== Epoch 3/20 =====
  Train Batch [50/1827] | Loss: 1.2161 | Top1: 0.6731 | Top5: 0.9006
  Train Batch [100/1827] | Loss: 1.2284 | Top1: 0.6709 | Top5: 0.9019
  Train Batch [150/1827] | Loss: 1.2088 | Top1: 0.6760 | Top5: 0.9060
  Train Batch [200/1827] | Loss: 1.2214 | Top1: 0.6769 | Top5: 0.9038
  Train Batch [250/1827] | Loss: 1.2339 | Top1: 0.6731 | Top5: 0.9018
  Train Batch [300/1827] | Loss: 1.2372 | Top1: 0.6731 | Top5: 0.9008
  Train Batch [350/1827] | Loss: 1.2526 | Top1: 0.6702 | Top5: 0.8972
  Train Batch [400/1827] | Loss: 1.2592 | Top1: 0.6693 | Top5: 0.8951
  Train Batch [450/1827] | Loss: 1.2567 | Top1: 0.6695 | Top5: 0.8949
  Train Batch [500/1827] | Loss: 1.2597 | Top1: 0.6691 | Top5: 0.8942
  Train Batch [550/1827] | Loss: 1.2685 | Top1: 0.6674 | Top5: 0.8928
  Train Batch [600/1827] | Loss: 1.2747 | Top1: 0.6657 | Top5: 0.8909
  Train Batch [650/1827] | Loss: 1.2751 | Top1: 0.6660 | Top5: 0.8909
  Train Batch [700/1827] | Loss: 1.2788 | Top1: 0.6663 | Top5: 0.8904
  Train Batch [750/1827] | Loss: 1.2818 | Top1: 0.6662 | Top5: 0.8898
  Train Batch [800/1827] | Loss: 1.2838 | Top1: 0.6666 | Top5: 0.8889
  Train Batch [850/1827] | Loss: 1.2870 | Top1: 0.6661 | Top5: 0.8888
  Train Batch [900/1827] | Loss: 1.2868 | Top1: 0.6662 | Top5: 0.8889
  Train Batch [950/1827] | Loss: 1.2881 | Top1: 0.6651 | Top5: 0.8887
  Train Batch [1000/1827] | Loss: 1.2886 | Top1: 0.6653 | Top5: 0.8885
  Train Batch [1050/1827] | Loss: 1.2903 | Top1: 0.6645 | Top5: 0.8884
  Train Batch [1100/1827] | Loss: 1.2934 | Top1: 0.6639 | Top5: 0.8878
  Train Batch [1150/1827] | Loss: 1.2954 | Top1: 0.6637 | Top5: 0.8878
  Train Batch [1200/1827] | Loss: 1.2973 | Top1: 0.6635 | Top5: 0.8874
  Train Batch [1250/1827] | Loss: 1.2979 | Top1: 0.6634 | Top5: 0.8873
  Train Batch [1300/1827] | Loss: 1.2982 | Top1: 0.6627 | Top5: 0.8875
  Train Batch [1350/1827] | Loss: 1.2998 | Top1: 0.6625 | Top5: 0.8875
  Train Batch [1400/1827] | Loss: 1.2990 | Top1: 0.6627 | Top5: 0.8874
  Train Batch [1450/1827] | Loss: 1.3011 | Top1: 0.6625 | Top5: 0.8870
  Train Batch [1500/1827] | Loss: 1.3025 | Top1: 0.6627 | Top5: 0.8867
  Train Batch [1550/1827] | Loss: 1.3055 | Top1: 0.6625 | Top5: 0.8858
  Train Batch [1600/1827] | Loss: 1.3054 | Top1: 0.6621 | Top5: 0.8859
  Train Batch [1650/1827] | Loss: 1.3060 | Top1: 0.6625 | Top5: 0.8855
  Train Batch [1700/1827] | Loss: 1.3058 | Top1: 0.6628 | Top5: 0.8854
  Train Batch [1750/1827] | Loss: 1.3070 | Top1: 0.6626 | Top5: 0.8848
  Train Batch [1800/1827] | Loss: 1.3096 | Top1: 0.6621 | Top5: 0.8845
  Train Batch [1827/1827] | Loss: 1.3089 | Top1: 0.6625 | Top5: 0.8846
  Val Batch [50/203] | Loss: 1.7041 | Top1: 0.6100 | Top5: 0.8300
  Val Batch [100/203] | Loss: 1.6798 | Top1: 0.6084 | Top5: 0.8322
  Val Batch [150/203] | Loss: 1.6870 | Top1: 0.6065 | Top5: 0.8317
  Val Batch [200/203] | Loss: 1.7012 | Top1: 0.6017 | Top5: 0.8317
  Val Batch [203/203] | Loss: 1.7018 | Top1: 0.6018 | Top5: 0.8315
Epoch [3/20] | Train Loss: 1.3089 | Train Top1: 0.6625 | Train Top5: 0.8846 | Val Loss: 1.7018 | Val Top1: 0.6018 | Val Top5: 0.8315

===== Epoch 4/20 =====
  Train Batch [50/1827] | Loss: 0.9243 | Top1: 0.7656 | Top5: 0.9337
  Train Batch [100/1827] | Loss: 0.9321 | Top1: 0.7594 | Top5: 0.9347
  Train Batch [150/1827] | Loss: 0.9176 | Top1: 0.7600 | Top5: 0.9358
  Train Batch [200/1827] | Loss: 0.9234 | Top1: 0.7548 | Top5: 0.9345
  Train Batch [250/1827] | Loss: 0.9144 | Top1: 0.7574 | Top5: 0.9345
  Train Batch [300/1827] | Loss: 0.9107 | Top1: 0.7569 | Top5: 0.9351
  Train Batch [350/1827] | Loss: 0.9173 | Top1: 0.7571 | Top5: 0.9345
  Train Batch [400/1827] | Loss: 0.9256 | Top1: 0.7538 | Top5: 0.9340
  Train Batch [450/1827] | Loss: 0.9336 | Top1: 0.7509 | Top5: 0.9326
  Train Batch [500/1827] | Loss: 0.9409 | Top1: 0.7492 | Top5: 0.9315
  Train Batch [550/1827] | Loss: 0.9443 | Top1: 0.7477 | Top5: 0.9316
  Train Batch [600/1827] | Loss: 0.9497 | Top1: 0.7459 | Top5: 0.9311
  Train Batch [650/1827] | Loss: 0.9532 | Top1: 0.7438 | Top5: 0.9304
  Train Batch [700/1827] | Loss: 0.9580 | Top1: 0.7425 | Top5: 0.9299
  Train Batch [750/1827] | Loss: 0.9632 | Top1: 0.7409 | Top5: 0.9291
  Train Batch [800/1827] | Loss: 0.9644 | Top1: 0.7402 | Top5: 0.9290
  Train Batch [850/1827] | Loss: 0.9664 | Top1: 0.7397 | Top5: 0.9288
  Train Batch [900/1827] | Loss: 0.9709 | Top1: 0.7390 | Top5: 0.9279
  Train Batch [950/1827] | Loss: 0.9725 | Top1: 0.7386 | Top5: 0.9273
  Train Batch [1000/1827] | Loss: 0.9795 | Top1: 0.7372 | Top5: 0.9263
  Train Batch [1050/1827] | Loss: 0.9832 | Top1: 0.7364 | Top5: 0.9260
  Train Batch [1100/1827] | Loss: 0.9855 | Top1: 0.7357 | Top5: 0.9261
  Train Batch [1150/1827] | Loss: 0.9885 | Top1: 0.7346 | Top5: 0.9257
  Train Batch [1200/1827] | Loss: 0.9929 | Top1: 0.7337 | Top5: 0.9249
  Train Batch [1250/1827] | Loss: 0.9965 | Top1: 0.7331 | Top5: 0.9243
  Train Batch [1300/1827] | Loss: 0.9994 | Top1: 0.7328 | Top5: 0.9242
  Train Batch [1350/1827] | Loss: 1.0015 | Top1: 0.7323 | Top5: 0.9240
  Train Batch [1400/1827] | Loss: 1.0024 | Top1: 0.7322 | Top5: 0.9242
  Train Batch [1450/1827] | Loss: 1.0044 | Top1: 0.7321 | Top5: 0.9240
  Train Batch [1500/1827] | Loss: 1.0045 | Top1: 0.7317 | Top5: 0.9240
  Train Batch [1550/1827] | Loss: 1.0065 | Top1: 0.7308 | Top5: 0.9239
  Train Batch [1600/1827] | Loss: 1.0094 | Top1: 0.7302 | Top5: 0.9235
  Train Batch [1650/1827] | Loss: 1.0120 | Top1: 0.7295 | Top5: 0.9232
  Train Batch [1700/1827] | Loss: 1.0165 | Top1: 0.7286 | Top5: 0.9223
  Train Batch [1750/1827] | Loss: 1.0190 | Top1: 0.7278 | Top5: 0.9218
  Train Batch [1800/1827] | Loss: 1.0204 | Top1: 0.7277 | Top5: 0.9217
  Train Batch [1827/1827] | Loss: 1.0210 | Top1: 0.7276 | Top5: 0.9216
  Val Batch [50/203] | Loss: 1.5801 | Top1: 0.6231 | Top5: 0.8506
  Val Batch [100/203] | Loss: 1.5981 | Top1: 0.6259 | Top5: 0.8478
  Val Batch [150/203] | Loss: 1.5988 | Top1: 0.6279 | Top5: 0.8498
  Val Batch [200/203] | Loss: 1.6098 | Top1: 0.6259 | Top5: 0.8488
  Val Batch [203/203] | Loss: 1.6086 | Top1: 0.6261 | Top5: 0.8488
Epoch [4/20] | Train Loss: 1.0210 | Train Top1: 0.7276 | Train Top5: 0.9216 | Val Loss: 1.6086 | Val Top1: 0.6261 | Val Top5: 0.8488

===== Epoch 5/20 =====
  Train Batch [50/1827] | Loss: 0.6722 | Top1: 0.8150 | Top5: 0.9663
  Train Batch [100/1827] | Loss: 0.6707 | Top1: 0.8228 | Top5: 0.9622
  Train Batch [150/1827] | Loss: 0.6729 | Top1: 0.8202 | Top5: 0.9617
  Train Batch [200/1827] | Loss: 0.6826 | Top1: 0.8153 | Top5: 0.9605
  Train Batch [250/1827] | Loss: 0.6954 | Top1: 0.8116 | Top5: 0.9586
  Train Batch [300/1827] | Loss: 0.7088 | Top1: 0.8068 | Top5: 0.9569
  Train Batch [350/1827] | Loss: 0.7181 | Top1: 0.8052 | Top5: 0.9548
  Train Batch [400/1827] | Loss: 0.7194 | Top1: 0.8035 | Top5: 0.9555
  Train Batch [450/1827] | Loss: 0.7274 | Top1: 0.7998 | Top5: 0.9551
  Train Batch [500/1827] | Loss: 0.7306 | Top1: 0.7977 | Top5: 0.9555
  Train Batch [550/1827] | Loss: 0.7375 | Top1: 0.7956 | Top5: 0.9553
  Train Batch [600/1827] | Loss: 0.7404 | Top1: 0.7950 | Top5: 0.9553
  Train Batch [650/1827] | Loss: 0.7471 | Top1: 0.7928 | Top5: 0.9554
  Train Batch [700/1827] | Loss: 0.7509 | Top1: 0.7917 | Top5: 0.9552
  Train Batch [750/1827] | Loss: 0.7536 | Top1: 0.7910 | Top5: 0.9547
  Train Batch [800/1827] | Loss: 0.7575 | Top1: 0.7896 | Top5: 0.9541
  Train Batch [850/1827] | Loss: 0.7560 | Top1: 0.7903 | Top5: 0.9541
  Train Batch [900/1827] | Loss: 0.7547 | Top1: 0.7910 | Top5: 0.9541
  Train Batch [950/1827] | Loss: 0.7634 | Top1: 0.7893 | Top5: 0.9530
